"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Las Palmas","Osasuna",1,1,"D",2.38,2.9,3.5,2.4,3.1,3.2,2.44,3.03,3.42,2.3,3.1,3.2,2.48,3.17,3.5
"Real Madrid","Sevilla",1,0,"H",1.29,6,9,1.31,5.5,9.25,1.32,6.02,8.92,1.25,5.8,9.5,1.33,6.2,10.1
"Girona","Vallecano",3,0,"H",1.65,4.2,4.75,1.65,4,5,1.68,4.15,5.01,1.6,4,5,1.7,4.3,5.25
"Celta","Almeria",1,0,"H",1.85,3.6,4.2,1.85,3.6,4.2,1.88,3.78,4.29,1.75,3.75,4.5,1.9,3.85,4.5
"Sevilla","Sociedad",3,2,"H",2.6,3,3,2.5,3.1,3,2.64,3.02,3.09,2.45,3.1,3,2.68,3.1,3.17
"Vallecano","Cadiz",1,1,"D",1.8,3.3,5.25,1.8,3.3,5,1.84,3.32,5.25,1.8,3.4,5,1.87,3.43,5.4
"Getafe","Las Palmas",3,3,"D",2,3.1,4.33,2.05,3.2,4,2.05,3.2,4.27,2,3.25,4,2.12,3.26,4.33
"Valencia","Real Madrid",2,2,"D",5.25,3.8,1.67,5.25,3.9,1.63,5.48,3.96,1.66,5.5,4,1.6,5.7,4.03,1.72
"Villarreal","Granada",5,1,"H",1.65,4,5,1.66,4.1,4.75,1.65,4.33,5.04,1.65,4.2,4.8,1.68,4.42,5.25
"Ath Madrid","Betis",2,1,"H",1.57,4.2,5.75,1.55,4.33,5.5,1.58,4.36,5.73,1.53,4.33,5.5,1.59,4.5,6.11
"Mallorca","Girona",1,0,"H",3.25,3.2,2.3,3.2,3.3,2.25,3.27,3.3,2.35,3.1,3.3,2.3,3.35,3.5,2.38
"Ath Bilbao","Barcelona",0,0,"D",2.88,3.5,2.4,2.65,3.5,2.5,2.94,3.54,2.43,2.75,3.6,2.38,2.97,3.75,2.5
"Osasuna","Alaves",1,0,"H",2.38,3.1,3.25,2.35,3.1,3.2,2.44,3.05,3.38,2.3,3.2,3.2,2.47,3.24,3.41
"Barcelona","Mallorca",1,0,"H",1.44,4.75,6.5,1.46,4.4,7,1.47,4.68,7.38,1.44,4.4,7,1.5,4.8,7.6
"Valencia","Getafe",1,0,"H",2,3.2,4.2,2,3.2,4.1,2,3.15,4.62,1.95,3.25,4.2,2.05,3.33,4.62
"Cadiz","Ath Madrid",2,0,"H",4.75,3.6,1.73,4.8,3.7,1.72,4.96,3.76,1.76,4.8,3.75,1.7,5.13,3.82,1.79
"Granada","Sociedad",2,3,"A",4.5,3.3,1.85,4.4,3.4,1.88,4.45,3.5,1.91,4.2,3.5,1.85,4.75,3.6,1.95
"Girona","Osasuna",2,0,"H",1.62,4.2,5.25,1.61,4,5.25,1.62,4.2,5.54,1.57,4.2,5.5,1.65,4.37,5.75
"Alaves","Vallecano",1,0,"H",2.15,3.1,3.75,2.15,3.1,3.7,2.2,3.1,3.89,2.1,3.2,3.7,2.22,3.33,3.97
"Las Palmas","Ath Bilbao",0,2,"A",4,3.3,2,3.75,3.3,2.05,4.14,3.38,2.01,3.8,3.4,2,4.2,3.53,2.11
"Real Madrid","Celta",4,0,"H",1.3,6,8,1.3,5.75,9.5,1.29,6.13,10.04,1.29,5.8,9.5,1.33,6.4,10.5
"Betis","Villarreal",2,3,"A",2.05,3.5,3.4,2.05,3.5,3.4,2.08,3.66,3.59,2,3.7,3.4,2.16,3.75,3.66
"Almeria","Sevilla",2,2,"D",3.1,3.3,2.38,3,3.3,2.37,3.11,3.36,2.42,3,3.3,2.38,3.16,3.41,2.48
"Sociedad","Cadiz",2,0,"H",1.5,4,8.5,1.5,3.8,8,1.48,4.15,8.55,1.44,3.9,8.5,1.52,4.21,9
"Mallorca","Granada",1,0,"H",1.83,3.3,5,1.85,3.4,4.5,1.84,3.43,5,1.8,3.4,4.75,1.88,3.58,5.09
"Osasuna","Real Madrid",2,4,"A",5.75,4.2,1.55,5.75,4.1,1.58,6.12,4.36,1.55,6,4.2,1.53,6.5,4.42,1.59
"Getafe","Girona",1,0,"H",3.1,3.5,2.25,3.1,3.5,2.25,3.13,3.56,2.31,3.1,3.4,2.25,3.29,3.61,2.33
"Ath Bilbao","Alaves",2,0,"H",1.55,3.75,7,1.55,3.8,6.5,1.55,4.08,6.75,1.53,3.9,6.5,1.6,4.2,7
"Sevilla","Celta",1,2,"A",2,3.4,3.75,2,3.4,3.75,2.03,3.45,4.05,1.95,3.4,3.9,2.09,3.5,4.1
"Las Palmas","Almeria",0,1,"A",1.95,3.5,4,1.87,3.6,4.1,1.92,3.65,4.18,1.85,3.5,4.2,1.96,3.72,4.31
"Villarreal","Valencia",1,0,"H",2.05,3.5,3.6,2.05,3.5,3.6,2.13,3.49,3.61,2.1,3.4,3.4,2.17,3.55,3.7
"Vallecano","Betis",2,0,"H",2.5,3.25,3,2.4,3.2,3,2.51,3.31,3,2.45,3.25,2.9,2.59,3.37,3.1
"Ath Madrid","Barcelona",0,3,"A",2.38,3.6,2.8,2.3,3.6,2.85,2.42,3.66,2.89,2.3,3.8,2.75,2.47,3.83,2.98
"Cadiz","Granada",1,0,"H",2,3.3,4.2,2,3.2,4,2.02,3.37,4.23,2,3.3,3.9,2.05,3.5,4.3
"Getafe","Sevilla",0,1,"A",2.55,3.1,3,2.5,3.1,2.95,2.54,3.19,3.07,2.5,3,3.1,2.6,3.25,3.13
"Almeria","Osasuna",0,3,"A",2.63,3.2,2.8,2.65,3.25,2.7,2.63,3.25,2.89,2.62,3.1,2.8,2.66,3.35,2.93
"Valencia","Mallorca",0,0,"D",2.05,3,4.2,2.05,2.9,4.2,2.09,2.99,4.52,2.1,2.8,4.5,2.15,3.07,4.6
"Barcelona","Las Palmas",1,0,"H",1.25,6.5,10,1.28,6,9.75,1.27,6.49,10.02,1.25,6,10,1.31,6.8,11.5
"Celta","Vallecano",0,0,"D",1.95,3.3,4,2,3.3,3.8,1.97,3.4,4.29,1.91,3.5,4,2,3.59,4.4
"Girona","Betis",3,2,"H",1.75,3.8,4.75,1.72,3.9,4.5,1.79,3.98,4.4,1.75,4,4.2,1.83,4.11,4.75
"Alaves","Sociedad",0,1,"A",3.5,2.9,2.38,3.25,3,2.4,3.48,2.98,2.44,3.4,2.88,2.4,3.6,3.06,2.48
"Real Madrid","Ath Bilbao",2,0,"H",1.53,4.33,6,1.55,4.2,5.75,1.57,4.36,5.87,1.53,4.2,5.8,1.59,4.47,6.11
"Villarreal","Ath Madrid",1,2,"A",2.9,3.75,2.25,3,3.7,2.2,2.99,3.72,2.32,2.9,3.75,2.2,3.1,3.83,2.34
"Granada","Valencia",0,1,"A",3.4,3.1,2.3,3.25,3.2,2.3,3.37,3.23,2.34,3.2,3.25,2.25,3.41,3.33,2.37
"Betis","Celta",2,1,"H",2.1,3.4,3.5,2,3.4,3.7,2.12,3.5,3.7,2,3.5,3.6,2.13,3.6,3.9
"Ath Madrid","Girona",3,1,"H",1.91,3.6,3.8,1.98,3.7,3.6,1.97,3.88,3.71,1.95,3.8,3.5,2,3.94,3.9
"Vallecano","Getafe",0,0,"D",2.2,3,3.7,2.2,3.1,3.6,2.26,3.07,3.77,2.2,3,3.7,2.31,3.12,3.9
"Mallorca","Real Madrid",0,1,"A",5,3.6,1.75,4.6,3.6,1.77,5.09,3.68,1.76,4.75,3.6,1.75,5.2,3.75,1.82
"Cadiz","Barcelona",0,1,"A",4.33,3.6,1.83,4.2,3.6,1.83,4.43,3.5,1.91,4.2,3.7,1.8,4.5,3.8,1.93
"Las Palmas","Sevilla",0,2,"A",2.7,3.2,2.7,2.6,3.25,2.7,2.8,3.11,2.83,2.7,3.25,2.62,2.84,3.41,2.86
"Granada","Alaves",2,0,"H",3,3,2.55,3.1,3.1,2.45,3.12,3.14,2.54,3,3.1,2.45,3.21,3.23,2.64
"Ath Bilbao","Villarreal",1,1,"D",1.75,4,4.33,1.77,3.9,4.2,1.78,4.02,4.47,1.75,3.9,4.33,1.83,4.11,4.55
"Sociedad","Almeria",2,2,"D",1.33,5,10,1.33,5.25,9.5,1.34,5.32,9.55,1.3,5.5,10,1.36,5.5,11
"Osasuna","Valencia",0,1,"A",2.2,3.1,3.75,2.25,3,3.5,2.2,3.14,3.68,2.15,3.2,3.6,2.27,3.29,3.77
"Ath Bilbao","Granada",1,1,"D",1.25,6,11,1.28,5.5,11,1.28,6.09,12.01,1.25,5.8,11,1.3,6.2,14
"Celta","Las Palmas",4,1,"H",1.73,3.75,5,1.77,3.6,4.6,1.76,3.72,4.99,1.73,3.7,4.8,1.8,3.84,5.1
"Vallecano","Osasuna",2,1,"H",2.2,3.1,3.6,2.2,3.1,3.6,2.24,3.12,3.73,2.15,3.2,3.5,2.28,3.29,3.79
"Valencia","Betis",1,2,"A",2.2,3.2,3.5,2.2,3.2,3.5,2.25,3.28,3.52,2.15,3.3,3.5,2.27,3.47,3.75
"Girona","Cadiz",4,1,"H",1.4,4.75,8,1.44,4.6,6.75,1.43,4.89,7.51,1.4,4.75,7.5,1.46,5.1,8
"Getafe","Sociedad",1,1,"D",3.8,3.1,2.15,3.75,3.1,2.15,3.88,3.07,2.22,3.75,3.2,2.1,3.95,3.29,2.24
"Almeria","Villarreal",1,2,"A",3.4,3.8,2.05,3.4,3.7,2.05,3.32,3.81,2.05,3.4,3.7,2,3.6,3.94,2.1
"Alaves","Ath Madrid",2,0,"H",4,3.5,1.95,3.9,3.4,1.98,4.21,3.4,1.99,4,3.5,1.91,4.33,3.6,2.01
"Real Madrid","Barcelona",3,2,"H",1.85,3.8,4,1.85,3.8,3.9,1.88,3.96,3.99,1.83,4,3.75,1.93,4.16,4.1
"Sevilla","Mallorca",2,1,"H",1.95,3.1,4.5,1.95,3.2,4.4,2.02,3.02,4.81,1.91,3.2,4.4,2.04,3.34,5
"Sociedad","Real Madrid",0,1,"A",2.45,3.25,2.9,2.45,3.1,3,2.51,3.23,3.14,2.5,3.2,2.88,2.7,3.39,3.19
"Las Palmas","Girona",0,2,"A",4.5,3.8,1.75,4.1,3.9,1.8,4.49,4.04,1.77,4.2,4,1.75,4.6,4.11,1.83
"Almeria","Getafe",1,3,"A",2.7,3.4,2.63,2.75,3.25,2.55,2.69,3.3,2.67,2.7,3.25,2.6,2.85,3.41,2.75
"Alaves","Celta",3,0,"H",2.75,3.1,2.7,2.5,3.2,2.95,2.7,3.09,2.95,2.6,3.1,2.8,2.75,3.21,3
"Ath Madrid","Ath Bilbao",3,1,"H",1.95,3.5,4,2,3.5,3.7,1.97,3.57,4.05,1.91,3.7,3.75,2.03,3.72,4.1
"Cadiz","Mallorca",1,1,"D",2.5,2.9,3.2,2.55,2.85,3.2,2.69,2.85,3.23,2.5,2.88,3.2,2.7,2.95,3.31
"Granada","Osasuna",3,0,"H",2.55,3.1,3,2.55,3.1,2.9,2.64,3.15,2.97,2.6,3.2,2.8,2.67,3.24,3.02
"Villarreal","Vallecano",3,0,"H",1.65,4,5,1.75,3.8,4.4,1.74,3.93,4.84,1.7,3.9,4.6,1.77,4.09,5
"Betis","Sevilla",1,1,"D",2.05,3.4,3.6,2.1,3.3,3.6,2.08,3.42,3.84,2.05,3.4,3.6,2.15,3.52,3.89
"Barcelona","Valencia",4,2,"H",1.36,5,7.5,1.38,5,7.75,1.36,5.49,8.18,1.33,5,8.5,1.4,5.7,9
"Getafe","Ath Bilbao",0,2,"A",4,3.2,2.05,3.6,2.95,1.95,4.08,3.3,2.08,3.9,3.2,2.05,4.1,3.37,2.15
"Sociedad","Las Palmas",2,0,"H",1.33,5,10,1.36,4.8,9,1.36,5.08,9.57,1.33,4.8,9.5,1.4,5.2,10
"Real Madrid","Cadiz",3,0,"H",1.33,5.25,8.5,1.34,5.25,9,1.35,5.53,8.54,1.33,5,9,1.39,5.7,11
"Girona","Barcelona",4,2,"H",2.7,3.75,2.4,2.65,3.75,2.37,2.75,3.87,2.43,2.7,3.8,2.38,2.85,3.92,2.47
"Mallorca","Ath Madrid",0,1,"A",3.75,3.2,2.15,3.6,3.2,2.15,3.82,3.16,2.19,3.7,3.2,2.1,3.91,3.31,2.21
"Osasuna","Betis",0,2,"A",3.2,3.25,2.38,3.1,3.25,2.35,3.22,3.29,2.39,3.1,3.3,2.3,3.33,3.35,2.43
"Celta","Villarreal",3,2,"H",2.3,3.6,2.88,2.3,3.6,2.87,2.44,3.69,2.84,2.38,3.6,2.75,2.48,3.75,2.93
"Valencia","Alaves",0,1,"A",2.1,3,4,2.1,3,3.9,2.15,2.93,4.37,2.05,3,4.2,2.19,3.15,4.45
"Sevilla","Granada",3,0,"H",1.65,4,5.25,1.63,4,5,1.67,4.08,5.18,1.62,4.2,5,1.71,4.2,5.5
"Vallecano","Almeria",0,1,"A",1.57,4,5.75,1.55,4.2,5.75,1.6,4.2,5.76,1.55,4.2,5.8,1.63,4.31,6
"Alaves","Girona",2,2,"D",3.5,3.6,2.05,3.3,3.5,2.1,3.57,3.63,2.12,3.4,3.6,2.05,3.62,3.7,2.15
"Mallorca","Las Palmas",1,0,"H",1.65,3.5,6.5,1.65,3.3,6.25,1.62,3.32,7.34,1.62,3.5,6.5,1.73,3.6,7.8
"Villarreal","Sevilla",3,2,"H",1.83,4,3.8,1.88,3.9,3.75,1.84,3.94,3.91,1.85,3.9,3.75,1.91,4.16,4
"Granada","Real Madrid",0,4,"A",5.5,4.6,1.53,6,4.4,1.52,5.32,4.58,1.54,6,4.5,1.5,6.27,4.8,1.58
"Ath Bilbao","Osasuna",2,2,"D",1.44,4.33,7.5,1.47,4.33,7,1.45,4.29,7.49,1.44,4.33,7.5,1.51,4.6,8.1
"Cadiz","Getafe",1,0,"H",2.1,3.2,3.8,2.1,3.1,3.9,2.1,3.28,3.71,2.05,3.2,3.8,2.19,3.4,4
"Ath Madrid","Celta",1,0,"H",1.42,4.75,7,1.44,4.75,6.75,1.43,4.22,8.29,1.44,4.75,7,1.49,5,8.8
"Valencia","Vallecano",0,0,"D",2.25,3.1,3.5,2.3,3.1,3.4,2.27,3,3.63,2.2,3.1,3.5,2.33,3.18,3.75
"Betis","Almeria",3,2,"H",1.33,5.5,8.5,1.37,5.25,7.5,1.35,5.27,8.02,1.33,5.5,8.5,1.4,5.7,9
"Barcelona","Sociedad",2,0,"H",1.8,3.6,4.5,1.85,3.6,4.2,1.79,3.74,4.39,1.8,3.75,4.33,1.85,3.91,4.6
"Osasuna","Mallorca",1,1,"D",2.8,2.9,2.88,2.8,2.85,2.87,2.88,2.92,2.96,2.62,3,2.88,2.91,3,3
"Real Madrid","Alaves",5,0,"H",1.22,7.5,11,1.21,6.75,14,1.21,7.35,14.08,1.18,7,15,1.24,7.8,15
"Girona","Villarreal",0,1,"A",1.7,4.5,4.2,1.7,4.4,4.2,1.72,4.58,4.36,1.67,4.5,4.2,1.73,4.72,4.5
"Sevilla","Cadiz",0,1,"A",1.9,3.6,4,1.88,3.5,4.1,1.92,3.69,4.13,1.85,3.7,4,1.95,3.73,4.27
"Vallecano","Granada",2,1,"H",1.65,3.8,5.5,1.66,3.7,5.5,1.68,3.79,5.66,1.62,3.8,5.5,1.74,3.91,6
"Celta","Ath Bilbao",2,1,"H",2.63,3.3,2.7,2.55,3.3,2.7,2.6,3.35,2.73,2.6,3.3,2.7,2.69,3.45,2.83
"Getafe","Ath Madrid",0,3,"A",4.75,3.4,1.83,4.5,3.5,1.8,4.78,3.53,1.78,4.5,3.6,1.8,5,3.7,1.88
"Las Palmas","Betis",2,2,"D",4,3.5,1.91,3.9,3.5,1.93,4.14,3.67,1.92,4,3.5,1.91,4.2,3.71,2.01
"Almeria","Barcelona",0,2,"A",6.5,5,1.44,6.25,5.25,1.42,6.79,5.43,1.41,7,5.5,1.36,7.2,5.6,1.46
"Sociedad","Valencia",1,0,"H",1.6,3.9,5.75,1.63,3.7,5.75,1.66,3.75,6,1.62,3.7,5.8,1.71,3.9,6.3
"Alaves","Getafe",1,0,"H",2,3.2,4.1,2.05,3.2,3.9,2.07,3.18,4.21,2,3.25,3.9,2.11,3.34,4.3
"Ath Bilbao","Sevilla",2,0,"H",1.7,3.9,4.75,1.75,3.75,4.6,1.7,3.79,4.92,1.67,4,4.75,1.79,4.03,5.2
"Ath Madrid","Osasuna",1,4,"A",1.4,4.5,8,1.42,4.8,7.25,1.39,4.87,7.58,1.4,4.8,7.5,1.46,5.2,8.1
"Barcelona","Vallecano",3,0,"H",1.25,6,12,1.26,6.25,10.5,1.26,5.94,9.7,1.25,5.8,11,1.31,6.5,12
"Betis","Sociedad",0,2,"A",2.55,3.2,2.88,2.5,3.1,2.95,2.66,3.06,2.89,2.5,3.1,3,2.74,3.25,3
"Cadiz","Las Palmas",0,0,"D",1.8,3.5,4.75,1.8,3.4,4.6,1.85,3.43,4.55,1.8,3.5,4.5,1.91,3.58,5
"Granada","Celta",1,2,"A",3.7,3.6,2,3.4,3.5,2.1,3.81,3.53,1.98,3.4,3.7,2,3.84,3.85,2.12
"Mallorca","Almeria",2,2,"D",1.5,4.1,7,1.5,4,6.5,1.48,4.23,6.88,1.5,4.2,7,1.54,4.4,7.3
"Valencia","Girona",1,3,"A",3,3.5,2.3,2.85,3.5,2.35,3.05,3.58,2.25,2.75,3.6,2.38,3.19,3.75,2.44
"Villarreal","Real Madrid",4,4,"D",3.2,3.75,2.05,3.25,3.9,2.05,3.2,3.85,2.09,3.2,4,2,3.4,4.16,2.18
"Girona","Granada",7,0,"H",1.22,6.5,12,1.24,6.75,11,1.22,7.22,10.68,1.2,7,12,1.25,7.7,13
"Osasuna","Villarreal",1,1,"D",2.9,3.6,2.3,2.85,3.75,2.25,2.9,3.78,2.33,2.88,3.75,2.25,3,3.86,2.37
"Sociedad","Ath Madrid",0,2,"A",2.4,3.3,3,2.37,3.4,2.87,2.42,3.49,2.96,2.38,3.5,2.8,2.47,3.6,3.02
"Almeria","Cadiz",6,1,"H",2.05,3.6,3.5,2.15,3.5,3.25,2.08,3.63,3.52,2.05,3.6,3.4,2.19,3.74,3.59
"Vallecano","Ath Bilbao",0,1,"A",2.88,3.5,2.38,2.85,3.5,2.37,2.87,3.54,2.45,2.8,3.5,2.38,2.97,3.62,2.49
"Real Madrid","Betis",0,0,"D",1.33,6,7.5,1.36,5.5,7,1.35,5.67,7.79,1.36,5.5,7,1.42,6,8
"Getafe","Mallorca",1,2,"A",2.3,3.25,3.2,2.3,3.2,3.25,2.35,3.21,3.31,2.25,3.25,3.2,2.4,3.39,3.36
"Celta","Valencia",2,2,"D",1.95,3.5,3.8,2,3.5,3.7,1.96,3.57,3.99,1.95,3.5,3.8,2.02,3.66,4.1
"Las Palmas","Alaves",1,1,"D",2.4,3.3,3,2.45,3.3,2.87,2.53,3.34,2.91,2.4,3.4,2.88,2.56,3.45,3
"Sevilla","Barcelona",1,2,"A",4,4,1.8,3.7,4,1.87,3.98,4.11,1.83,3.8,4.2,1.8,4.13,4.33,1.87
